smiles,CYP450_CYP1A2,CYP450_CYP2C19,CYP450_CYP2C9,CYP450_CYP2D6,CYP450_CYP3A4,Carcinogenicity_Carcinogenicity,Cardiotoxicity_Cardiotoxicity-1,Cardiotoxicity_Cardiotoxicity-10,Cardiotoxicity_Cardiotoxicity-30,Cardiotoxicity_Cardiotoxicity-5,Clinical_Toxicity_Clinical_toxicity,Developmental_and_Reproductive_Toxicity_Developmental_Toxicity,Developmental_and_Reproductive_Toxicity_Reproductive_Toxicity,Endocrine_Disruption_NR-AR-LBD,Endocrine_Disruption_NR-AR,Endocrine_Disruption_NR-AhR,Endocrine_Disruption_NR-ER-LBD,Endocrine_Disruption_NR-ER,Endocrine_Disruption_NR-PPAR-gamma,Endocrine_Disruption_NR-aromatase,Endocrine_Disruption_SR-ARE,Endocrine_Disruption_SR-ATAD5,Endocrine_Disruption_SR-HSE,Endocrine_Disruption_SR-MMP,Endocrine_Disruption_SR-p53,Hepatotoxicity_Hepatotoxicity,Irritation_and_Corrosion_Eye_Corrosion,Irritation_and_Corrosion_Eye_Irritation,Mutagenicity_Ames_Mutagenicity,Respiratory_Toxicity_Respiratory_Toxicity
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Br/C(=N\Nc1nnn[nH]1)c1ccncc1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br/C=C/Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrC(Br)(Br)c1ccc2ccccc2n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrC(Br)Br,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,
BrC(Br)C(Br)(Br)Br,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,1.0,,,1.0,0.0,
BrC(Br)C(Br)Br,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
BrC(Br)c1ccccc1C(Br)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrC(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrC/C=C/CBr,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,
BrC/C=C\CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrC1C=CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,1.0,,,,,,
BrC1c2ccccc2-c2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrC=C(Br)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrC=CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCBr,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,
BrCC(Br)(Br)Br,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,1.0,
BrCC(Br)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCC(Br)C1CCC(Br)C(Br)C1,,,,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,0.0,
BrCC(Br)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
BrCC(Br)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
BrCC1CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCC1CCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCC1CO1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,1.0,
BrCC=CCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrCC=Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrCCBr,,,,,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,
BrCCC(Br)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCCCBr,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
BrCCCCBr,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,
BrCCCCCBr,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,
BrCCCCCCBr,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,
BrCCCCCCCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCCCc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
BrCCOc1ccccc1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
BrCCc1ccccc1,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,1.0,,
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
BrC[C@H]1CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1c2ccccc2cc2c1ccc1ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1c2ccccc2cc2ccc3ccccc3c12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1c2ccccc2cc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1ccc(Br)cc1,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,
BrCc1ccc(CBr)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1ccc2cccc3c2c1-c1ccccc1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1ccc2ccccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrCc1cccc(CBr)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,
BrCc1cccc(Oc2ccccc2)c1,,,,,,,,,,,,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,
BrCc1cccc2c1-c1cccc3cccc-2c13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
BrCc1ccccc1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,1.0,
BrCc1ccccc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BrCc1ccccc1CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Br[Ca]Br,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Brc1[nH]nc2ccccc12,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1c(NC2=NCCN2)ccc2nccnc12,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Brc1c2ccccc2c(Br)c2ccccc12,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,,1.0,,,,,
Brc1c2ccccc2cc2c1ccc1ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Brc1c2ccccc2cc2ccccc12,,,,,,,,,,,,,,,0.0,0.0,,1.0,1.0,,,0.0,,,1.0,,,,,
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,,,,,,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(Br)cc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Brc1cc(Br)c2cccnc2c1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)cc(Br)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc2ccccc2c2ccccc12,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Brc1ccc(-c2ccccc2)cc1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,1.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,1.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,1.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,1.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Br)c(Br)c1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,,
Brc1ccc(Br)c2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc(Br)cc1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
Brc1ccc(Br)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(I)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,
Brc1ccc(Oc2ccc(Br)cc2)cc1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,,,
Brc1ccc(Oc2ccccc2)cc1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
Brc1ccc(Sc2ccc(Br)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2[nH]ccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc2c(c1)C1OC1C1CCCCC21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1ccc2c(c1)C=CC1CCCCC21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1ccc2c(c1)Cc1ccccc1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc2ccccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc2cccnc2c1,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc2ncccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,1.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2oc3ccccc3c2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccc(-c2ccccc2)c1,,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,1.0,0.0,
Brc1cccc(Br)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccc(Br)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccc(I)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccc2cc3c(ccc4ccccc43)cc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Brc1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccccc1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,
Brc1ccccc1-c1ccccc1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
Brc1ccccc1-c1ccccc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccccc1-c1nnn[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccccc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccccc1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccccc1N1CCN(CCc2ccncc2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Brc1ccccc1OCCOCCOc1cccc2cccnc12,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccnc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cccs1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccsc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1ccsc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cn[nH]c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cnc2ccccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cncc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cnccn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cncnc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1cscc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1nc(Br)c(Br)[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Brc1nc2ccccc2s1,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
Brc1sc(Br)c(Br)c1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
C#CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
